Date,Price,Open,High,Low,Vol.,Change %
19-Jan,7281.74,"6,506.91","7,303.12","6,457.13",12.23B,9.74%
18-Dec,6635.28,"7,486.13","7,486.51","6,190.17",13.12B,-9.48%
18-Nov,7330.54,"7,327.82","7,572.93","6,830.76",12.57B,0.34%
18-Oct,7305.9,"8,091.50","8,107.38","6,922.83",14.83B,-9.20%
18-Sep,8046.35,"8,087.95","8,104.07","7,873.93",11.15B,-0.78%
18-Aug,8109.54,"7,701.82","8,133.30","7,659.52",10.70B,5.71%
18-Jul,7671.79,"7,451.90","7,933.31","7,443.10",9.42B,2.15%
18-Jun,7510.3,"7,487.66","7,806.60","7,419.56",12.84B,0.92%
18-May,7442.12,"7,053.65","7,492.42","6,991.14",10.64B,5.32%
18-Apr,7066.27,"7,016.17","7,319.58","6,805.96",10.16B,0.04%
18-Mar,7063.44,"7,274.75","7,637.27","6,901.07",12.33B,-2.88%
18-Feb,7273.01,"7,377.17","7,441.09","6,630.67",10.81B,-1.87%
18-Jan,7411.48,"6,937.65","7,505.77","6,924.08",10.40B,7.36%
17-Dec,6903.39,"6,844.04","7,003.89","6,734.13",10.00B,0.43%
17-Nov,6873.97,"6,758.64","6,914.19","6,667.31",10.20B,2.17%
17-Oct,6727.67,"6,506.08","6,737.75","6,484.14",9.64B,3.57%
17-Sep,6495.96,"6,442.17","6,497.98","6,334.59",9.41B,1.05%
17-Aug,6428.66,"6,372.16","6,435.27","6,177.19",9.58B,1.27%
17-Jul,6348.12,"6,173.29","6,460.84","6,081.96",8.58B,3.38%
17-Jun,6140.42,"6,215.91","6,341.70","6,087.81",12.50B,-0.94%
17-May,6198.52,"6,067.56","6,221.99","5,996.81",10.24B,2.50%
17-Apr,6047.61,"5,917.31","6,074.04","5,805.15",8.30B,2.30%
17-Mar,5911.74,"5,874.86","5,928.06","5,769.39",11.00B,1.48%
17-Feb,5825.44,"5,654.51","5,867.89","5,616.40",8.56B,3.75%
17-Jan,5614.79,"5,425.62","5,669.61","5,397.99",8.38B,4.30%
16-Dec,5383.12,"5,323.88","5,512.37","5,238.21",9.32B,1.12%
16-Nov,5323.68,"5,199.77","5,403.86","5,034.41",9.91B,2.59%
16-Oct,5189.14,"5,300.29","5,340.52","5,169.76",7.97B,-2.31%
16-Sep,5312,"5,218.28","5,342.88","5,097.80",9.63B,1.89%
16-Aug,5213.22,"5,167.42","5,275.74","5,109.80",8.79B,0.99%
16-Jul,5162.13,"4,837.18","5,175.81","4,786.01",8.01B,6.60%
16-Jun,4842.67,"4,928.97","4,980.14","4,574.25",10.96B,-2.13%
16-May,4948.06,"4,786.55","4,951.45","4,678.38",9.21B,3.62%
16-Apr,4775.36,"4,842.55","4,969.32","4,740.84",8.82B,-1.94%
16-Mar,4869.85,"4,596.01","4,899.14","4,581.75",10.06B,6.84%
16-Feb,4557.95,"4,587.59","4,636.93","4,209.76",10.51B,-1.21%
16-Jan,4613.95,"4,897.65","4,926.73","4,313.39",10.70B,-7.86%
15-Dec,5007.41,"5,129.64","5,176.77","4,871.59",9.86B,-1.98%
15-Nov,5108.67,"5,065.64","5,163.47","4,908.66",8.40B,1.09%
15-Oct,5053.75,"4,624.46","5,095.69","4,552.34",9.91B,9.38%
15-Sep,4620.16,"4,673.61","4,960.87","4,487.06",10.53B,-3.27%
15-Aug,4776.51,"5,134.34","5,175.26","4,292.14",10.46B,-6.86%
15-Jul,5128.28,"5,029.05","5,231.94","4,901.51",9.46B,2.84%
15-Jun,4986.87,"5,094.94","5,164.36","4,956.23",10.53B,-1.64%
15-May,5070.02,"4,966.32","5,111.54","4,888.17",8.57B,2.60%
15-Apr,4941.42,"4,894.36","5,119.83","4,844.39",8.96B,0.83%
15-Mar,4900.88,"4,973.43","5,042.14","4,825.93",10.39B,-1.26%
15-Feb,4963.53,"4,650.60","4,989.25","4,580.46",8.77B,7.08%
15-Jan,4635.24,"4,760.24","4,777.01","4,563.11",10.02B,-2.13%
14-Dec,4736.05,"4,777.73","4,814.95","4,547.31",10.63B,-1.16%
14-Nov,4791.63,"4,633.71","4,810.86","4,594.91",8.48B,3.47%
14-Oct,4630.74,"4,486.65","4,641.51","4,116.60",12.87B,3.06%
14-Sep,4493.39,"4,592.42","4,610.57","4,464.44",10.14B,-1.90%
14-Aug,4580.27,"4,363.39","4,580.27","4,321.89",8.18B,4.82%
14-Jul,4369.77,"4,424.71","4,485.93","4,351.04",9.70B,-0.87%
14-Jun,4408.18,"4,247.96","4,417.46","4,207.61",10.35B,3.90%
14-May,4242.62,"4,121.25","4,252.08","4,021.05",9.83B,3.11%
14-Apr,4114.56,"4,219.87","4,286.09","3,946.03",11.05B,-2.01%
14-Mar,4198.99,"4,261.42","4,371.71","4,131.81",11.62B,-2.53%
14-Feb,4308.12,"4,105.06","4,342.59","3,968.19",9.94B,4.98%
14-Jan,4103.88,"4,160.03","4,246.55","4,044.76",10.89B,-1.74%
13-Dec,4176.59,"4,065.66","4,177.73","3,979.59",9.26B,2.87%
13-Nov,4059.89,"3,932.45","4,069.70","3,855.07",8.56B,3.58%
13-Oct,3919.71,"3,774.18","3,966.71","3,650.03",10.31B,3.93%
13-Sep,3771.48,"3,622.64","3,798.76","3,593.62",8.33B,5.06%
13-Aug,3589.87,"3,654.18","3,694.19","3,573.57",7.58B,-1.01%
13-Jul,3626.37,"3,430.48","3,649.35","3,415.23",8.37B,6.56%
13-Jun,3403.25,"3,460.76","3,488.31","3,294.95",9.56B,-1.52%
13-May,3455.91,"3,325.35","3,532.04","3,296.51",9.02B,3.82%
13-Apr,3328.79,"3,268.63","3,328.79","3,154.96",9.23B,1.88%
13-Mar,3267.52,"3,143.54","3,270.30","3,129.40",7.85B,3.40%
13-Feb,3160.19,"3,162.94","3,213.60","3,105.36",8.07B,0.57%
13-Jan,3142.13,"3,091.33","3,164.06","3,076.60",8.32B,4.06%
12-Dec,3019.51,"3,029.21","3,061.82","2,951.04",7.73B,0.31%
12-Nov,3010.24,"2,987.54","3,033.85","2,810.80",8.59B,1.11%
12-Oct,2977.23,"3,130.31","3,171.46","2,961.16",8.25B,-4.46%
12-Sep,3116.23,"3,063.25","3,196.93","3,040.24",8.06B,1.61%
12-Aug,3066.96,"2,956.72","3,100.54","2,890.85",8.59B,4.34%
12-Jul,2939.52,"2,938.41","2,987.94","2,837.72",8.86B,0.15%
12-Jun,2935.05,"2,810.13","2,942.28","2,726.68",10.16B,3.81%
12-May,2827.34,"3,044.79","3,085.40","2,774.45",10.55B,-7.19%
12-Apr,3046.36,"3,085.94","3,128.25","2,946.04",8.93B,-1.46%
12-Mar,3091.57,"2,979.11","3,134.17","2,900.28",9.68B,4.20%
12-Feb,2966.89,"2,830.10","3,000.11","2,825.19",9.35B,5.44%
12-Jan,2813.84,"2,657.39","2,834.30","2,627.23",8.79B,8.01%
11-Dec,2605.15,"2,615.67","2,674.53","2,518.01",8.75B,-0.58%
11-Nov,2620.34,"2,607.31","2,730.39","2,441.48",10.18B,-2.39%
11-Oct,2684.41,"2,401.19","2,753.37","2,298.89",11.33B,11.14%
11-Sep,2415.4,"2,583.34","2,643.37","2,414.31",11.94B,-6.36%
11-Aug,2579.46,"2,791.45","2,796.24","2,331.65",15.41B,-6.42%
11-Jul,2756.38,"2,775.08","2,878.94","2,724.99",9.76B,-0.62%
11-Jun,2773.52,"2,829.39","2,834.05","2,599.86",12.85B,-2.18%
11-May,2835.3,"2,881.28","2,887.75","2,739.85",11.83B,-1.33%
11-Apr,2873.54,"2,796.67","2,876.83","2,706.50",10.19B,3.32%
11-Mar,2781.07,"2,791.08","2,802.32","2,603.50",12.13B,-0.04%
11-Feb,2782.27,"2,717.61","2,840.51","2,705.54",9.62B,3.04%
11-Jan,2700.08,"2,676.65","2,766.17","2,663.64",9.52B,1.78%
10-Dec,2652.87,"2,535.19","2,675.26","2,535.19",9.34B,6.19%
10-Nov,2498.23,"2,520.45","2,592.94","2,459.79",11.05B,-0.37%
10-Oct,2507.41,"2,386.82","2,517.50","2,332.46",10.96B,5.86%
10-Sep,2368.62,"2,142.75","2,400.06","2,141.95",11.62B,12.04%
10-Aug,2114.03,"2,283.32","2,309.43","2,099.29",11.61B,-6.24%
10-Jul,2254.7,"2,110.75","2,307.60","2,061.14",12.50B,6.90%
10-Jun,2109.24,"2,244.79","2,341.11","2,105.26",14.17B,-6.55%
10-May,2257.04,"2,472.32","2,503.00","2,140.53",15.56B,-8.29%
10-Apr,2461.19,"2,411.68","2,535.28","2,383.77",13.66B,2.64%
10-Mar,2397.96,"2,247.40","2,432.25","2,247.33",14.44B,7.14%
10-Feb,2238.26,"2,155.81","2,251.68","2,100.17",12.18B,4.23%
10-Jan,2147.35,"2,294.41","2,326.28","2,140.34",12.78B,-5.37%
9-Dec,2269.15,"2,162.23","2,295.80","2,155.96",11.53B,5.81%
9-Nov,2144.6,"2,047.42","2,205.32","2,024.27",11.98B,4.86%
9-Oct,2045.11,"2,111.77","2,190.64","2,040.21",15.23B,-3.64%
9-Sep,2122.42,"2,001.30","2,167.70","1,958.04",14.27B,5.64%
9-Aug,2009.06,"1,998.35","2,059.48","1,929.64",12.70B,1.54%
9-Jul,1978.5,"1,846.12","2,009.81","1,727.05",14.22B,7.82%
9-Jun,1835.04,"1,796.09","1,879.92","1,753.78",16.20B,3.42%
9-May,1774.33,"1,719.29","1,774.33","1,664.19",14.46B,3.32%
9-Apr,1717.3,"1,504.87","1,753.61","1,498.54",15.43B,12.35%
9-Mar,1528.59,"1,356.13","1,587.00","1,265.52",17.30B,10.94%
9-Feb,1377.84,"1,460.85","1,598.50","1,372.42",15.71B,-6.68%
9-Jan,1476.42,"1,578.87","1,665.63","1,434.08",15.09B,-6.38%
8-Dec,1577.03,"1,496.09","1,602.92","1,398.07",15.38B,2.70%
8-Nov,1535.57,"1,718.89","1,785.84","1,295.48",15.97B,-10.77%
8-Oct,1720.95,"2,075.10","2,083.20","1,493.79",25.28B,-17.73%
8-Sep,2091.88,"2,402.11","2,413.11","1,983.73",19.75B,-11.64%
8-Aug,2367.52,"2,326.83","2,473.20","2,280.93",14.41B,1.80%
8-Jul,2325.55,"2,274.24","2,353.39","2,167.29",20.42B,1.42%
8-Jun,2292.98,"2,514.82","2,549.94","2,290.59",19.27B,-9.10%
8-May,2522.66,"2,416.49","2,551.47","2,416.49",17.48B,4.55%
8-Apr,2412.8,"2,306.51","2,451.19","2,266.29",17.61B,5.87%
8-Mar,2279.1,"2,271.26","2,346.78","2,155.42",19.52B,0.34%
8-Feb,2271.48,"2,392.58","2,419.23","2,252.65",19.89B,-4.95%
8-Jan,2389.86,"2,653.91","2,661.50","2,202.54",24.81B,-9.89%
7-Dec,2652.28,"2,654.91","2,734.82","2,553.99",16.08B,-0.33%
7-Nov,2660.96,"2,835.00","2,835.63","2,539.81",21.07B,-6.93%
7-Oct,2859.12,"2,704.25","2,861.51","2,698.14",20.70B,5.83%
7-Sep,2701.5,"2,596.38","2,716.75","2,536.93",15.46B,4.05%
7-Aug,2596.36,"2,538.50","2,627.75","2,386.69",23.99B,2.00%
7-Jul,2545.57,"2,617.39","2,724.74","2,545.57",20.21B,-2.21%
7-Jun,2603.23,"2,614.01","2,634.60","2,534.97",20.01B,-0.05%
7-May,2604.52,"2,529.95","2,607.90","2,510.57",20.21B,3.15%
7-Apr,2525.09,"2,425.36","2,562.99","2,409.04",18.18B,4.27%
7-Mar,2421.64,"2,377.18","2,459.96","2,331.57",20.27B,0.23%
7-Feb,2416.15,"2,474.08","2,531.42","2,395.35",17.10B,-1.94%
7-Jan,2463.93,"2,429.72","2,508.93","2,394.66",18.72B,2.01%
6-Dec,2415.29,"2,430.75","2,470.95","2,392.95",16.06B,-0.68%
6-Nov,2431.77,"2,373.49","2,468.42","2,316.82",17.20B,2.75%
6-Oct,2366.71,"2,257.00","2,379.29","2,224.21",20.92B,4.79%
6-Sep,2258.43,"2,194.56","2,273.30","2,147.44",18.44B,3.42%
6-Aug,2183.75,"2,080.34","2,193.34","2,048.22",18.68B,4.41%
6-Jul,2091.47,"2,177.91","2,190.44","2,012.78",26.89B,-3.71%
6-Jun,2172.09,"2,179.82","2,233.88","2,065.11",17.54B,-0.31%
6-May,2178.88,"2,329.79","2,352.56","2,135.81",-,-6.19%
6-Apr,2322.57,"2,352.24","2,375.54","2,299.42",-,-0.74%
6-Mar,2339.79,"2,288.15","2,353.14","2,239.54",-,2.56%
6-Feb,2281.39,"2,294.11","2,313.53","2,232.68",-,-1.06%
6-Jan,2305.82,"2,216.53","2,332.92","2,189.91",-,4.56%
5-Dec,2205.32,"2,244.85","2,278.16","2,200.51",-,-1.23%
5-Nov,2232.82,"2,109.89","2,269.30","2,108.86",-,5.31%
5-Oct,2120.3,"2,152.70","2,167.00","2,025.58",-,-1.46%
5-Sep,2151.69,"2,150.03","2,186.83","2,093.06",-,-0.02%
5-Aug,2152.09,"2,191.49","2,219.91","2,112.25",-,-1.50%
5-Jul,2184.83,"2,060.97","2,201.39","2,050.30",-,6.22%
5-Jun,2056.96,"2,067.23","2,106.57","2,039.69",-,-0.54%
5-May,2068.22,"1,923.23","2,076.80","1,916.03",-,7.63%
5-Apr,1921.65,"2,009.09","2,021.82","1,889.83",-,-3.88%
5-Mar,1999.23,"2,057.47","2,100.57","1,968.58",-,-2.56%
5-Feb,2051.72,"2,063.27","2,103.45","2,023.00",-,-0.52%
5-Jan,2062.41,"2,184.75","2,191.60","2,008.68",-,-5.20%
4-Dec,2175.44,"2,104.58","2,185.56","2,097.86",-,3.75%
4-Nov,2096.81,"1,975.48","2,117.89","1,969.32",-,6.17%
4-Oct,1974.99,"1,909.59","1,984.18","1,899.33",-,4.12%
4-Sep,1896.84,"1,833.37","1,925.85","1,833.33",-,3.20%
4-Aug,1838.1,"1,874.93","1,893.13","1,750.82",-,-2.61%
4-Jul,1887.36,"2,045.53","2,045.53","1,829.06",-,-7.83%
4-Jun,2047.79,"1,978.52","2,055.65","1,960.26",-,3.07%
4-May,1986.74,"1,928.72","1,991.87","1,865.40",-,3.47%
4-Apr,1920.15,"1,996.45","2,079.12","1,919.39",-,-3.71%
4-Mar,1994.22,"2,036.92","2,069.02","1,896.91",-,-1.75%
4-Feb,2029.82,"2,072.13","2,094.92","1,991.05",-,-1.76%
4-Jan,2066.15,"2,011.08","2,153.83","1,999.77",-,3.13%