symbol,one week NASDAQ,one week stock,one week outperform,two week NASDAQ,two week stock,two week outperform,one month NASDAQ,one month stock,one month outperform,one year NASDAQ,one year stock,one year outperform,two years NASDAQ,two years stock,one years outperform,three years NASDAQ,three years stockthree years outperform,
AMTD,0.863540431,-1.133144476,FALSE,2.470147256,0.649350649,FALSE,5.756285555,24.73647224,TRUE,17.14751078,40.73049253,TRUE,24.21622941,38.19965378,TRUE,22.87082194,39.5256917,TRUE
ADP,-4.915996502,-5.776846028,FALSE,-5.671712619,-5.091414025,TRUE,-2.999034448,0.547525186,TRUE,20.76991305,6.755646817,FALSE,7.495745634,-9.23743084,FALSE,-9.410432388,-19.97357992,FALSE
HPQ,1.737432388,-1.320233344,FALSE,2.584312947,3.225806452,TRUE,1.822994248,-0.121359223,FALSE,6.927018537,21.05263158,TRUE,1.779812139,30.24730501,TRUE,-34.35926383,9.465020576,TRUE
GPS,2.834927853,2.48545743,FALSE,3.713179497,2.998421883,FALSE,3.662018022,0.913487372,FALSE,-64.21294545,-32.75737941,TRUE,-25.60851549,17.5313059,TRUE,-6.630300083,4.307213285,TRUE
T,0.357648687,-4.286915102,FALSE,-3.405843524,-8.608112051,FALSE,-9.577655198,-15.87795766,FALSE,-38.65665771,-54.12008282,FALSE,-17.07388865,-53.23178263,FALSE,11.35604288,-21.71353826,FALSE
VRSN,0.633815466,0.978473581,TRUE,1.714287664,-8.467309753,FALSE,2.718593812,3.342884432,TRUE,14.26478547,31.41308031,TRUE,22.09237357,34.26437155,TRUE,36.02868685,57.13680644,TRUE
T,6.37833058,2.429467085,FALSE,4.23115134,2.122641509,FALSE,0.760770651,-1.343101343,FALSE,17.903829,19.57364341,TRUE,26.44588467,30.17386427,TRUE,40.00694462,30.60200669,FALSE
C,-3.368348874,-5.089662447,FALSE,-4.444904983,-4.046997389,TRUE,2.956289498,7.066231343,TRUE,3.650846205,-42.78036546,FALSE,19.70087331,16.9272462,FALSE,38.10924984,15.21276596,FALSE
HMC,-0.89714704,-3.56663985,FALSE,-1.1301911,-2.250463331,FALSE,-7.151598643,-6.891779684,TRUE,0.384235729,-19.9378882,FALSE,18.57636071,-3.483386924,FALSE,35.24624441,-8.391804659,FALSE
TD,1.165685948,0.011994722,FALSE,-2.493263912,-0.895666909,TRUE,-5.851675223,-3.875389408,TRUE,21.55195667,7.357190487,FALSE,33.70980593,-71.17043121,FALSE,38.51045921,-105.9288538,FALSE
AAPL,-0.03473052,4.7968914,TRUE,2.506398928,9.189477048,TRUE,-0.314837597,16.03773585,TRUE,17.28261975,-343.4723812,FALSE,28.47229693,-270.2214503,FALSE,30.99647672,-294.6218643,FALSE
CHG,1.374740529,0.076464291,FALSE,-0.58491914,0.229042602,TRUE,-0.515899225,-0.848896435,FALSE,24.64327674,-6006.542056,FALSE,35.68973811,-3216.751269,FALSE,34.07496625,-,FALSE
C,-0.849254139,0.766430351,TRUE,0.451418815,0.671269659,TRUE,1.615308213,-0.387672029,FALSE,18.74311024,-4.7956293,FALSE,29.24065745,11.83180116,FALSE,31.08556308,-11.30453471,FALSE
WAG,0.908171709,-1.660967269,FALSE,3.112540036,-3.712932968,FALSE,2.827223522,9.146474569,TRUE,28.14338246,39.22313084,TRUE,36.57652102,45.27284681,TRUE,-,-,
NTDOY,3.352708617,2.239789196,FALSE,3.016777765,11.40298507,TRUE,5.69738643,10.27811366,TRUE,20.26080905,3.448275862,FALSE,31.93341791,35.19650655,TRUE,33.41511409,46.84813754,TRUE
TER,1.648535624,5.935556812,TRUE,1.435982663,5.02283105,TRUE,-0.0535384,5.185185185,TRUE,17.84648633,7.246376812,FALSE,32.15315766,21.3610586,FALSE,29.02276829,13.15240084,FALSE
DPZ,1.313864719,-1.030640669,FALSE,1.984576164,0.602904905,FALSE,2.9224718,1.50712831,FALSE,15.67899566,35.0698174,TRUE,11.60923124,45.80905424,TRUE,32.48828706,65.86674195,TRUE
GOOGL,-4.107396456,-4.851057654,FALSE,-3.579241657,-4.008566004,FALSE,-5.554760864,-9.490115844,FALSE,-,-,-,-,-,-,,,
EXPE,-5.072041374,-4.470120277,TRUE,-4.575190508,-0.961010434,TRUE,-0.946638751,-0.027203482,TRUE,-,-,-,-,-,-,,,
Avg,0.174973034,-0.708721171,,0.07028977,-0.101460107,,-0.117173505,2.099882265,,8.372304265,-370.1491468,,18.6476295,-193.9576904,,22.67572681,-11.98782604,
Med,0.863540431,-1.030640669,,1.435982663,0.229042602,,0.760770651,0.547525186,,17.28261975,6.755646817,,24.21622941,17.5313059,,31.78692507,9.465020576,
StdDev,2.904275797,3.400023122,,3.194572236,5.214501213,,4.321477823,9.047389989,,24.01247503,1455.163252,,18.0351365,782.6240876,,21.47395296,88.53775948,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,NASDAQ,Stock,StdDev Lower,StdDev Upper,StdDev,,,,,,,,,,,,,
One Week,2.473171064,2.697317467,-0.619875116,6.01451005,3.317192583,,,,,,,,,,,,,
Two Week,4.732621312,2.672018756,-3.232113565,8.576151077,5.904132321,,,,,,,,,,,,,
One Month,4.039196045,4.518046967,0.901173591,8.134920343,3.616873376,,,,,,,,,,,,,
One Year,21.22806776,1.720941453,-81.42502575,84.86690866,83.1459672,,,,,,,,,,,,,
Two Year,35.3104586,46.89207455,8.236041025,85.54810808,38.65603353,,,,,,,,,,,,,
Three Year,41.36624202,55.761793,18.9263336,92.59725239,36.83545939,,,,,,,,,,,,,